序号,参数摘要,终审结论,对应功能/说明
627,结合医院实际数据规模、硬件资源配置等情况，制定差异化运营数据抽取策略，优先将各类运营数据抽取至数据仓库进行存储管理。 （3）数据清洗,归配套产品,数仓 ETL 属大数据平台产品
641,支持对主数据目录、数据来源、版本信息等基础信息进行维护，可配置主数据包含的字段信息，包括字段编码、数据类型、长度、默认值、非空校验、主键标识等，并支持与其他主数据建立关联关系。,功能等效,数据元管理（类型/格式/值域，WS 363 种子）
705,基于已配置完成的执行器参数，可创建并管理各类数据采集任务，支持灵活配置定时调度规则，实现数据采集任务的自动化、规范化运行，有效提升任务执行效率。,部分符合,集成适配器+路由雏形已有，调度编排属 ESB 级配套
707,负责任务调度执行器的注册及全生命周期管理，支持执行器的新增、编辑等操作，保障执行器稳定运行，为各类任务调度工作提供可靠的基础支撑。 +-------------------------------+-----------------------------------------------------------------------------------------------------,部分符合,集成适配器+路由雏形已有，调度编排属 ESB 级配套
719,负责字典核心数据维护，包括值域代码、值域名称、编码规则、版本信息、备注说明等内容的新增、编辑、查询、启用与禁用，保障字典数据准确完整。,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
730,在授权基础上，进一步强化服务调用的安全管理，防范非法调用，保障服务与数据的安全。已获得授权的服务，需通过平台统一认证服务，获取对应的认证令牌；只有校验为有效状态的认证令牌，才能进一步调用相关业务服务，确保服务调用的合法性与安全性。,功能等效,JWT 统一认证+RBAC+接口级 @PreAuthorize
756,提供对主数据的明细数据与业务系统的基础数据的映射关系管理功能，包含建立映射关系、修改映射关系、发布映射关系信息，确保主数据与业务数据协同一致。,功能等效,ICD/药品/收费项目主数据 + 数据元/术语管理
757,提供对主数据的明细数据注册、修改、注销功能，支持明细数据的批量操作，确保主数据明细准确、完整。,待人工签认,
758,提供对主数据的明细数据与业务系统的基础数据的映射关系管理功能，包含建立映射关系、修改映射关系、发布映射关系信息，确保主数据与业务数据协同一致。,功能等效,ICD/药品/收费项目主数据 + 数据元/术语管理
760,根据部分字段内容的一致性，提供业务系统基础数据和主数据自动映射功能，提升映射效率，减少人工操作成本，支持自动映射结果的人工校验与调整。,功能等效,ICD/药品/收费项目主数据 + 数据元/术语管理
793,所有知识可以选择使用平台已有知识，也可以复用其他医院已有经验。 > 知识证据,待人工签认,
794,所有平台已添加知识，均有明确证据来源和证据可信度。 > 生效配置,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
829,支持界面自定义布局。,待人工签认,
838,支持人工手动调整队列顺序。 +-----------------------------------------------------------------------------------------------------+ +---------------------------------------------------------------------------------,待人工签认,
841,屏幕的界面布局和展示内容支持自定义配置。 +-----------------------------------------------------------------------------------------------------+,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
865,支持复制粘贴。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
867,支持按日导入。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+ ,待人工签认,
878,对可合并项目自动整合至同一时段。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
893,支持上一周、下一周快捷查询。 +---------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
948,窗宽窗位调节：支持自动计算与手动精细调节，适应不同组织对比度需求。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
949,多模态伪彩映射：内置黑白反向、彩虹色、金属色、火红、热金属蓝及混合模式等多种预设，满足多样化阅片习惯。 +---------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
950,图像增强：提供图像锐化与增强算法，提升细节辨识度。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
951,支持无损缩放、平移漫游、水平/垂直翻转及任意角度旋转等基础几何变换。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------+,待人工签认,
954,"在执行测量、翻转、窗宽窗位调整等操作后，支持""一键重置""至初始状态，确保阅片流程高效无忧。 +---------------------------------------------------------------------------------------------------------------------------------------------------------",待人工签认,
968,在接诊病人管理中，支持多病人接诊模式。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
976,能够诊间加号、转诊、转介、退号等功能。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1004,能够多种录入方式：五笔首码、拼音首码、汉字、商品名、通用名、药品编码等。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
1005,提高医生开方速度，能够预先设置药品的默认剂量、频次、用法等。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
1028,能够死亡登记卡的登记。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
1031,拥有医师工作量汇总。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,科室工作量统计（日结/病案统计/科室 CMI）
1033,拥有费用相关汇总。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1034,拥有费别分类的金额汇总。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,科室组织树/菜单树/数据元分类
1041,能够按床号号或就诊号进行高效快速检索病人。 +-----------------------------------------------------------------------------------------------------------------+,功能等效,患者/在院/结算多入口关键字检索
1042,能够简卡和明细卡另种显示方式。 +-----------------------------------------------------------------------------------------------------------------+,待人工签认,
1056,费用管控。 +-----------------------------------------------------------------------------------------------------------------+,待人工签认,
1062,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
1066,借助树形结构清晰展示了全部元素库信息的分类，和元素库信息之间的关系等。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,科室组织树/菜单树/数据元分类
1067,实现了对元素库信息的具体详情内容的预先查阅，和对元素库信息的基础信息实施编辑、给指定的元素库增加子类元素库等能力。 +---------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1070,借助树形结构清晰展示了全部数据源信息的分类，和数据源的其他属性等。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,科室组织树/菜单树/数据元分类
1071,实现了对数据源信息的具体详情内容的预先查阅，和对数据源信息的基础信息实施编辑、给指定的数据源增加子类数据源等能力。 +---------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1072,借助分页表格展示了系统应用到的参数，能够依据参数编码和参数名称检索，能够对参数值实施编辑。 +---------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
1076,兼容文档修改，字符、段落属性配置，页面版式配置，页眉页脚配置，兼容特殊符号，兼容图文结合性输入，兼容矢量图形绘制和表格。 +------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
1091,支持特殊符号、医学图库、医学表达式的快速引用，包括但不限于：①龋齿、②月经史、③牙科、④眼科专用医学专用公式。并且兼容常用的专用符号，符号兼容个性化设置。 > （投标人提供相关软件界面截图，并加盖投标人公章） +----------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
1125,在门诊配药模式上，系统支持两种方式：一种是不纳入系统严格流程管理的简易配药模式，另一种是纳入系统全流程管理的规范化配药模式。 +----------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1126,在配药流程中，系统支持配药核对功能。即配药人员完成药品配置后，需要经过核对环节确认无误，才算配药工作真正完成。 +-----------------------------------------------------------------------------------------------------------------------------------------------,功能等效,审方工作台/医技执行核对/对账体系
1168,系统支持自定义每月的月结日期。首次月结基于初始化建账的日期，之后每个月的月结周期则从上一次月结的终止时间开始计算。 +---------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1169,系统提供了取消月结的功能，但为确保数据连续性，取消操作必须从最后一个已月结的月份开始，逐月向前进行，不允许跨月取消。 +--------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1172,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
1188,支持特殊医学符号、表达式及医学矢量图标注。 +----------------------------------------------------------------------------------------+,待人工签认,
1199,可预设药品默认剂量、频次、用法。 +----------------------------------------------------------------------------------------+,待人工签认,
1227,可按计费时间、类型检索病人费用明细。 +----------------------------------------------------------------------------------------+,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
1240,支持续打、按页打等多种模式。 +----------------------------------------------------------------------------------------+,待人工签认,
1297,借助树形结构清晰展示了全部元素库信息的分类，和元素库信息之间的关系等。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,科室组织树/菜单树/数据元分类
1298,实现了对元素库信息的具体详情内容的预先查阅，和对元素库信息的基础信息实施编辑、给指定的元素库增加子类元素库等能力。 +---------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1301,借助树形结构清晰展示了全部数据源信息的分类，和数据源的其他属性等。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,科室组织树/菜单树/数据元分类
1302,实现了对数据源信息的具体详情内容的预先查阅，和对数据源信息的基础信息实施编辑、给指定的数据源增加子类数据源等能力。 +---------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1303,借助分页表格展示了系统应用到的参数，能够依据参数编码和参数名称检索，能够对参数值实施编辑。 +---------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
1308,给予常用的结构化元素库，兼容结构化录入与自由化录入相融合。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
1309,兼容文档修改，字符、段落属性配置，页面版式配置，页眉页脚配置，兼容特殊符号，兼容图文结合性输入，兼容矢量图形绘制和表格。 +------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
1328,兼容医疗专业表达式、专用符号：兼容特定医疗专业表达式录入，如：龋齿、月经史、牙科、眼科专用等医学专用公式，并且兼容常用的专用符号，符号兼容个性化设置。 +---------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
1346,系统提供缺药替换功能。当某种药品缺货或被禁用时，允许使用具有相同规格但生产厂家不同的同种药品进行替换，以保证临床用药不中断。 +----------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1389,系统支持自定义每月的月结日期。首次月结基于初始化建账的日期，之后每个月的月结周期则从上一次月结的终止时间开始计算。 +---------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1390,系统提供了取消月结的功能，但为确保数据连续性，取消操作必须从最后一个已月结的月份开始，逐月向前进行，不允许跨月取消。 +--------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1392,系统全面支持对药品的批次管理，能够追踪每一批次的药品流向。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1402,支持依据医院现有器械包规格及包内器械配置，灵活创建电子器械包，简化护士添加器械包及包内器械的操作流程，大幅提升器械录入效率。 +----------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
1406,可按照行业标准格式自动生成器械清点记录单，同时支持根据医院实际管理需求，定制化调整记录单格式，适配院内器械管理规范。 +--------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1411,可按照行业通用标准格式自动生成安全核查记录单，同时支持结合医院实际管理规范，定制化调整记录单的内容与格式，全面适配院内安全核查工作需求。 +----------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1454,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
1726,支持系统日志追踪功能，详尽记录操作事件、响应时间及终端IP等底层运行数据。 +------------------------------------------------------------------------------------------------------------+,功能等效,审计日志（IP/状态码）+慢接口观测
1749,具有自动编号规则功能。规则维护修改。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,各单据号已规则化生成（SJ/CF/ZY/CY/BH…），规则可视化维护为深度项
1754,具备手工录入病人基本信息。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
1757,支持手工项目的数据录入，手工输入登记信息。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
1759,具备对比审核、阈值自动审核功能。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1760,支持阈值自动审核机制。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1763,支持项目质控的确定。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1766,支持智能审核历史结果分析。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1802,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
1809,支持配血方法维护，用于交叉配血时选择配血方法。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
1814,支持处置方案维护，用于在填写不良反应申请单选择处置方案的维护。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
1822,支持对接收的申请单进行备血操作，和对已经备血的申请单进行状态跟踪和查询管理。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
1841,支持与血站进行对接、支持采购订单、对接血站实现采购订单，订购血制品。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,采购单据链（备货/验收/退货，pur_doc）+ 物资进销存
1860,支持会申请单时效控制。 +----------------------------------------------------------------------------+,待人工签认,
1880,套餐维护可将同类项目均维护至一个套餐，项目及套餐均支持单选折扣维护；项目开单时系统根据客户所提供相关信息自动过滤掉不符情况的项目，避免开单错误；开单时支持单项或多项赠送（不计费）。 +------------------------------------------------------------------------------------------------------------,待人工签认,收费折扣模式未实现（公立定价场景弱需求，建议试点反馈决定）
1894,支持维护在修改客户相关记录时原因类型功能。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,审计日志全量留痕写操作+敏感操作过滤
1897,在客户选项时可根据客户实际情况进行相关判断及提示。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,各类业务提醒已广泛实现，具体场景逐条比对
1902,支持现场拍照及相关录入设备调用。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,归配套产品,外设采集属设备配套（图像以档案名登记制留痕）
1906,支持多屏显示，便于客户确认自己的相关基本信息；同时方便客户问卷调查。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1907,登记开单处支持单项或多项赠送（取消计费）功能，同时保留相关记录，可供查询。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
1908,系统提供折扣比、折扣金额（抹零）、上浮金额、实收定价等多种折扣模式。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,收费折扣模式未实现（公立定价场景弱需求，建议试点反馈决定）
1911,可通过复制功能将其他同类型或同意图客户的项目及套餐内容复制至当前客户进行快速开单。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,临床路径批量开嘱/体检套餐即模板化开单，跨客户复制为易用性深度
1921,可根据参数设置开单人员在开单时是否强制限制。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
1938,可配置项目是否进入到最终结果显示中。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
1941,根据参数配置，项目不在指定范围内自动标识为异常。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,质控规则/CDSS/审核提醒均为参数化规则自动标识
1942,根据参数配置，修改项目结果时是否自动记录为异常。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,质控规则/CDSS/审核提醒均为参数化规则自动标识
1943,可根据参数配置项目进行分项单独小结或多项汇总合并小结。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,质控规则/CDSS/审核提醒均为参数化规则自动标识
1945,系统根据维护情况及重要程度生成排序，总检医师也可手动调整。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
1953,根据操作员使用情况提供记忆功能，操作员常用结论词排于前方。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1966,支持配置多流程复审机制。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
1979,用于外联人员出外勤时相关工作记录，提供查询及检索功能，便于工作量体现。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,科室工作量统计（日结/病案统计/科室 CMI）
1987,可查看客户当前所处环节及各环节情况。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1988,可对客户项目进行弃检、反弃检等。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
1989,可修改客户业务信息及基本资料（均会保存修改原因及时间、操作员等）。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,审计日志全量留痕写操作+敏感操作过滤
2040,医生工号发生变化时，可在手机上修改绑定的工号。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
2041,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2048,输入床号查询病人信息，进行换床操作。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,住院转科含原子换床（inp_transfer_log）
2055,具备配液管理功能，包括配药、审核及撤销模块。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,订单作废/退费/单据作废还原链路
2056,支持通过扫描药瓶条码的方式进行配药管理。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
2067,支持每日清单查看，检索当前病人某一日的医疗费用情况，也能够选择日期检索。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块查询统计能力已实现，界面细节逐条比对
2072,支持对病人进行三测数据、血糖血压、出入量的记录与管理。直接与HIS对接，无需再像传统一样先记录在纸上再誊抄至HIS系统。智能识别当前系统时间，进行三测数据录入时无需手动选择。数切换查看数据。 +-------------------------------------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
2076,通过扫描配送单二维码获取药品配送信息，进行接收操作。支持扫描配送单号或者药品条码号。 +------------------------------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
2079,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2146,服务系统软件支持在Windows和Linux操作系统上稳定运行，兼容主流服务器操作系统环境，满足医院不同IT基础设施的部署需求；支持远程技术维护，方便技术人员及时解决系统运行问题。 +------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
2164,服务系统支持远程技术维护，方便技术人员通过网络远程连接系统进行故障排查和维护操作，减少现场维护成本和时间；提供完整的系统运行日志记录。 +-----------------------------------------------------------------------------------------------------------------------------------,部分符合,对应模块维护能力已实现（字典/参数/规则），细节逐条比对
2180,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2210,支持静态图像上下翻转、左右翻转、放大、缩小、裁剪编辑功能；支持静态图像角度、直线、箭头、圆、矩形、多边形和文字等批注工具。 +-----------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
2240,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2270,支持静态图像上下翻转、左右翻转、放大、缩小、裁剪编辑功能；支持静态图像角度、直线、箭头、圆、矩形、多边形和文字等批注工具。 +-----------------------------------------------------------------------------------------------------------------------------------------,待人工签认,
2301,+-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------------------,格式行(非参数),doc 转换产生的表格分隔残渣，不计入参数
2302,支持出诊任务登记，包含出诊车辆、医护人员、司机、护工、急救包等信息。 +------------------------------------------------------------------------------+ （2）出诊任务 +---------------------------------------------------------------------------,部分符合,对应业务登记能力已实现，字段级差异逐条比对
2303,支持出诊记录查看调阅，查看待出诊列表信息。 +------------------------------------------------------------------------------+,待人工签认,
2305,支持查看出诊地图轨迹，查看出诊路线。 +------------------------------------------------------------------------------+,待人工签认,
2311,支持点选、文字等记录出诊过程中的急救措施和急救操作等。 +------------------------------------------------------------------------------+,待人工签认,
2312,支持录入出诊过程中的其他操作等。 +------------------------------------------------------------------------------+,部分符合,对应业务登记能力已实现，字段级差异逐条比对
