序号,桶,桶名,现结论,主题,建议处置,命中规则,在正式名单内,参数摘要
1003,C,C 设计选择被判缺项——宜写澄清而非降级,部分响应,门急诊与住院业务,写澄清：该处置方式是权衡实际业务后的设计选择，并可按院方要求配置为阻断,响应说明命中「提醒而不阻断」,是,缺药时不准许进行后续处方开具业务流程，拥有缺药提醒。 +----------------------------------------------------
182,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,通过采用警示级别的设置，实现按严重程度对审查出的不合理问题进行区分： <!-- -->
185,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,系统支持结合患者诊断、检验指标、年龄等信息，实现对药品适应症、禁忌症的合理性审查；
205,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医技检验影像,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,结合病人的具体情况【如：诊断、检验值、合用药品（剂量、频率、给药途径）】等信息，实现可根据不同药品名称在实际用药中是否存在不良相互作用的精准审查；
206,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,药事与药房,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,实现含有乙醇的药品与特定药物不良相互作用的审查，提示可能存在双硫仑样反应；
214,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,实现用药处方/医嘱中是否存在特殊人群（妊娠期妇女、哺乳期妇女、老年人、儿童等）中的禁用及慎用的药品；
217,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,在获取病人既往过敏原或过敏类信息的基础上，提示病人用药处方中是否存在与病人既往过敏药品、食物相关的、可能导致类似过敏反应的药品；
227,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,药事与药房,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,提供规则模板，可按《抗菌药物临床应用指导原则(2015年版)》实现抗菌药物越权用药的管控；
229,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,药事与药房,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,否,精、麻、毒、放、高危等药品的审查；
248,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,系统支持自定义规则审核后立即生效（不需要重启服务器）；可快速实现处方/医嘱的干预、查询、分析和统计。 自定义管理规则
647,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,完整记录并展示用户在主数据模块内的所有操作行为与历史记录。 +-------------------------------+-----------------
664,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,否,对于支持自动采集、自动计算的指标，需依托对应源头业务系统提供数据支撑。包括重症监护信息系统、HIS、单病种管理系统、实验室管理系统（LIS）、手术麻醉系统、药学
671,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,否,对于可从业务系统自动采集数据的指标，其自动获取功能的实现，需依托对应业务系统提供基础支撑。包括财务管理系统、手术麻醉系统、双向转诊系统、DRGS、实验室管理系统
682,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医技检验影像,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,可统计各住院科室手术人次，并展示待诊疗、待检查、待检验、待取药、待入院等各类等待人次。 +-------------------------------+---
688,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医技检验影像,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,历史就诊信息：查询患者所有历史就诊相关的各种信息，如：患者信息、患者基本健康状况、用药记录、手术记录、检验记录、检查记录、门诊与住院的诊断记录等； > 医护人员
710,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,基于标准数据元、标准数据集，对医疗机构患者就诊产生的全流程临床业务数据进行统一展示、查询、浏览，实现门诊、住院、检查检验、手术、护理、病历、医嘱、费用等数据的可
719,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,否,负责字典核心数据维护，包括值域代码、值域名称、编码规则、版本信息、备注说明等内容的新增、编辑、查询、启用与禁用，保障字典数据准确完整。
720,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,①字典对照，临床各业务系统之间数据字典和字典版本不一致，需要数据中心约定相关字典使用标准及版本，对历史数据和实时数据进行统一对照和转换。将医院各业务系统的数据字
725,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,共享文档可视化展示：由于CDA文档规范中仅仅定义了文档模式XSD，未定义可视化的XSL，医院信息集成平台提供了一个默认的XSL，用于对CDA文档进行格式化处理和
734,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,权限审计与系统运维,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,记录服务订阅过程中的消息分发日志，确保消息分发过程可追溯，保障消息能成功推送至订阅者。详细记录服务订阅相关的消息日志，包括服务名称、服务编码、消息订阅者、消息分
764,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,通过服务总线模式或者微服务模式提供主数据注册、更新、查询、订阅、推送服务，供其他机构/系统调用，支持服务接口的权限控制、调用日志记录，确保服务稳定、安全。 提供
803,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,权限审计与系统运维,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持用户按照不同角色权限对于系统中的操作日志进行查询。 +-------------------------------+-------------------
809,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,统计分析： > 支持对医生接诊数量、时间数据进行汇总统计； > > 支持对患者等待时间统计； +-------------------------------+
820,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,重复呼叫功能：支持对过号未到患者进行重复呼叫，同时也支持对已完成患者的重复呼叫。叫号时，语音与显示屏同步显示，确保患者及时知晓。 +--------------
831,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持语音播放。 +-------------------------------+---------------------------------------
902,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持患者在移动端进行预约查询，查询已预约信息详情。 +-----------------------------------------------------
932,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,展示本次就诊记录的对应支付信息。完成支付后，可以再次扫描二维码，显示申请单号，取药窗口号等。 +--------------------------------
964,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,全面展示挂号信息、待诊信息，根据挂号信息查询整体挂号数据，根据待诊信息查询钱都队列信息。 +----------------------------------
965,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,全面展示历史患者就诊信息，查询已诊患者列表，能够浏览个人资料、病历、医嘱等信息。 +--------------------------------------
967,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医保 DRG 结算,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,具备各种接诊方式，包括刷就诊卡、医保卡、身份证等其他电子凭证，或从待诊、已诊、历史、本科室患者病人列表中选择患者调入接诊，并支持对接排队叫号系统功能管理患者接诊
970,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医技检验影像,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,叫号数据资料一致化到语音设备及诊室显示屏上，与分诊叫号平台信息系统予以完成互动，能够医生根据患者列表对患者进行呼叫就诊行为。 +----------------
972,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,集中展示患者在医院信息系统中的基本信息，如姓名、性别、年龄、联系方式、过敏史和病种信息。 +----------------------------------
973,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持接诊信息修改、患者基本信息修改。 +------------------------------------------------------------
975,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,拥有诊间预约挂号功能，能够预约下次就诊科目及日期。 +-----------------------------------------------------
977,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持门诊西医诊断规范化管理，对标ICD-10标准编码及自定义临床诊断名称描述。 +---------------------------------------
979,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,提供患者诊断助手功能，包括患者历史诊断、常用诊断、高频诊断等内容，方便医生录入。 +--------------------------------------
980,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,诊断报卡：根据下达的诊断判断是否需要进行传染病，食源性疾病统一报卡等操作，完成报卡闭环**。** +------------------------------
987,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,结构化模板：提供丰富的门诊病历模板，包括常见疾病的模板，支持自定义模板，方便医生快速录入。 +---------------------------------
991,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,实现门诊病历和门诊医嘱的信息自动更新和签名流程闭环。在医生站录入医嘱和诊断自动更新到本人创建/签署的病历中，当切换病历或者诊毕时引导医生一键签署或重新签署病历，
992,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,拥有临床数据资料引用功能，能够直接引用患者基本数据资料、检验、检查等数据资料，也能够引用历史病历中的相关内容。 +-----------------------
994,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,病历内容历次更新痕迹保留，拥有病历留痕功能。 +--------------------------------------------------------
995,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,并拥有药物字典、检验检查字典、手术治疗字典等字典数据资料，医生能够开具药品、处置治疗、卫生材料等医嘱。 +---------------------------
996,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,权限审计与系统运维,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,能够不同级别医生开立相应当级别药物、检验检查、治疗方案以及手术等医嘱数据资料，拥有医嘱权限管控支持上级医生或药师对医嘱进行审核。 +--------------
997,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,以符合《处方管控办法》：诊断、科室、医生、时间的限制等，自动化审批录入处方的完整性性。 +-----------------------------------
1001,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医保 DRG 结算,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,拥有费用数据资料提示：包括项目名称、规格、价格、医保费用类别、数量等。 +-------------------------------------------
1002,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医保 DRG 结算,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,拥有药品数据资料提示：包括商品名、通用名、规格、价格、库存量、医保费用类别等。 +---------------------------------------
1005,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,药事与药房,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,否,提高医生开方速度，能够预先设置药品的默认剂量、频次、用法等。 +------------------------------------------------
1007,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,能够处方作废、处方双签字功能。 +---------------------------------------------------------------
1009,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,支持根据患者过敏信息、皮试记录、药品皮试规则智能提醒自动开立皮试医嘱。 +-------------------------------------------
1013,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医技检验影像,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,拥有检验申请单开具功能，检验申请单，拥有检验项目诊断、加急标志录入功能。 +------------------------------------------
1014,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医技检验影像,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,拥有检查申请单开具功能，检查申请单，拥有检查申请单临床摘要、诊断数据资料、检查目的、注意事项录入功能。 +---------------------------
1015,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,拥有手术申请单开具功能，拥有急诊手术、日间手术等标志录入功能，手术申请单。 +-----------------------------------------
1017,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医技检验影像,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,予以完成医技检查报告调阅功能，能够浏览检查结果和影像资料，能够与医技检查平台信息系统集成。 +---------------------------------
1019,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,基于电子病历评价标准，实现患者就诊信息互通，在门诊医生站中有且不限于检验、检查、病理、电子病历数据报告查询，也支持历史某段时间内就诊报告的查询。 +------
1021,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,在检验结果中支持检验定量指标的趋势图分析，分单指标趋势图和多指标趋势图。 +------------------------------------------
1023,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,同时浏览患者的就诊数据资料，拥有填写会诊结论功能。 +-----------------------------------------------------
1024,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医保 DRG 结算,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,拥有医保类别审批功能，自动化核算就诊费用。 +---------------------------------------------------------
1027,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,医生下达的门诊诊断能够与传染病上报报卡进行关联，能够传染病报卡登记，并自动化根据诊断填写不同类型的报卡内容提醒医生进行上报。 +----------------
1032,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,拥有诊断工作量汇总。 +--------------------------------------------------------------------
1063,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,实现了对基础数据元信息的具体详情内容的预先查阅，和对数据元的基础信息的修改，移除无用的数据元等能力。 +----------------------------
1064,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,数据治理与报表指标,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,借助列表形式展示了所有的指标库，能够按条件检索符合条件的信息。 +-----------------------------------------------
1073,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,权限审计与系统运维,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,能够依据权限的不同检索到不同的模板，依据应用范围模板分为全局模板、全院模板、科室模板、个人模板。 +------------------------------
1079,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,增加病历：通过挑选病历模板增加病历，也可借助于既往病历增加病历，兼容门诊病历、急诊留观病历等病历文书构建并书写。 +----------------------
1084,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,录入诊断：兼容中西医诊断录入，西医使用icd规范诊断，诊断能够增加前后缀；兼容存储常用诊断，从常用诊断中挑选诊断等功能。 +------------------
1086,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,病历签名：兼容多种医师签名方法，如个性化设置图片签名，文本签名；能够与第三方CA认证签名接口对接，达成CA认证签名。 +--------------------
1088,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,否,病历打印：病历可预览、续打、合并打印、挑选区域打印。 +----------------------------------------------------
1089,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,查阅质量控制结果：可查阅病历的质量控制结果，提示和方便医生书写病历。 +--------------------------------------------
1090,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,存储多种格式：可将病历存储为pdf、html、xml等格式，借助于编辑器或相应的工具打开病历。 +-------------------------------
1092,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,病历内容自动完成引用：病历增加时借助引用数据源自动完成带出病人已有的信息，如姓名、门诊号等基础信息，并且也能够带出其他病历中已有的信息，如将门诊病历中的主诉自动
1094,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,其他,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,病程记录合并修改：兼容病程记录合并预先查阅和修改、打印，按照病程记录的记录时间排序，方便医生书写。 +-----------------------------
1095,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,病历存为模板、疾病组：可将当前病历存为模板，一般能够存为科室模板和个人模板；并且兼容将患者病历存为疾病组。 +-------------------------
1096,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,全文检索：兼容病历内容全文检索，借助病历全文检索系统能够检索病历。 +---------------------------------------------
1098,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,检索结构化元素内容接口通道：给予检索门急诊病历中某个结构化元素内容的接口通道，借助接口通道能够检索到结构化元素的书写内容。 +-----------------
1099,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,护理与病历文书,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,病历锁定与取消锁定接口通道：给予门急诊病历锁定与取消锁定的接口通道，病历锁定后将不能修改，如需修改，能够向质控平台申请，申请通过后才能编辑病历。 +------
1108,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,在门诊发药管理中，系统支持西药、中成药、中草药分设不同药房发药，或在同一个药房内完成所有发药。整个流程包括发药、核对确认以及自动扣减相应库存的功能。 +----
1109,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,医保 DRG 结算,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,在发药时，系统能够自动获取并展示药品的详细信息，包括名称、规格、批号、价格、生产厂家、药品来源、剂型、属性、类别、医保编码，以及领药人、开方医生和对应的门诊患者
1112,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,药事与药房,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,药师可以通过一个统一界面查看当前药房所有已开启的窗口以及正在工作的配药人员，并能够在此界面上直接进行窗口的开启/关闭以及配药人员工作状态的调整。 +------
1122,D1,D1 快赢——已提供大部，缺口已枚举,部分响应,门急诊与住院业务,按缺口清单补齐后申请上调（成本低、★ 密度高者优先成版）,说明列描述了已有能力并逐项列出缺口（子项缺）,是,在发药流程的质量管理环节，系统通过与合理用药系统对接，自动进行用药审查，对用药禁忌、并发症、不良反应等用药安全问题进行质量控制。同时，基于过敏药物管理制度，对未
