序号,实质性★,重要▲,参数摘要,响应结论,响应说明
13,,,非正常病例分析：提供从年度、月度及单个病例等角度，对全院各科室高倍率、低倍率、异常病例的构成情况、变化趋势以及病例指标进行对比分析；,正偏离/无偏离,平台已实现（详见对应功能模块）
14,,,DRG智能查漏：提供全院可优化DRG入组病例的智能查询并提供对应病例医保结算清单的便捷优化调整。 <!-- -->,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
15,,,质控规则管理：内置国家和地方制定的清单质控规则，支持结算清单质控规则的按需启用/停用等；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
16,,,清单智能生成：从HIS/病案系统自动获取结算清单所需数据并自动生成对应病例的医保结算清单，支持查询、修改及归档等操作；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
17,,,清单质控管理：调用结算清单质控规则对清单的完整性、逻辑性、规范性、入组合理性等方面进行智能校验，以便医务人员及时完善结算清单的填写；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
18,,,清单质控分析：以图形化界面或表格等形式对质控结果进行汇总分析，帮助管理人员准确掌握清单问题情况及分布、排名等信息；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
19,,,结算清单上传：清单经过医务人员优化调整并标记后，直接调用四川省医保信息平台相关接口进行上传，并提供上传结果的查询等。 <!-- -->,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
20,,,病例完整性校对：支持自定义条件查询病例完整性校对结果及错误分布情况并导出为Excel文件，支持透视查看指定病例完整质控信息；,正偏离/无偏离,平台已实现（详见对应功能模块）
21,,,病例逻辑性校对：支持自定义条件查询病例逻辑性校对结果及错误分布情况并导出为Excel文件，支持透视查看指定病例完整质控信息；,正偏离/无偏离,平台已实现（详见对应功能模块）
22,,,病例综合评分：支持自定义条件查询病例综合评分结果、评分结果排名TOP10、病例扣分情况、扣分原因等信息，支持将评分结果导出为Excel文件；,正偏离/无偏离,平台已实现（详见对应功能模块）
23,,,病案质控分析：以图形、表格等形式对院内病案质控情况进行分析，包括病案问题分布/排名、科室/医师排名等。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
24,,,全院分析：基于医保结算反馈数据实现对指定周期内全院超高及超低病案数、总费用、医保结算金额、医保付费差额等信息进行统计及分析；,正偏离/无偏离,平台已实现（详见对应功能模块）
25,,,科室/医生分析：监测全院各科室/医生DRG付费业务指标情况，DRG付费预测情况，并支持对各科室/医生下亏损/错误病例等进行分析；,正偏离/无偏离,平台已实现（详见对应功能模块）
26,,,病组/患者分析：结合医保按DRG结算反馈数据，实现对所有DRG病组/患者关键业务指标的分析，以及指定病种费用结构的多维度分析。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
27,,,提供对分组器管理、区域标杆管理、标准手术配置、中医优势病种以及系统功能权限等参数的配置管理；,外部条件,需医保局/省平台等外部环境开通后联调
28,,,提供数据权限配置、系统用户管理等的功能。 <!-- -->,正偏离/无偏离,平台已实现（详见对应功能模块）
29,★,,按照四川省医保部门下发的《定点医药机构接口规范（基线版）》开发系统接口，从院方相关系统内（如HIS系统、病案系统等）同步获取包括基本信息、诊断、手术、费用明细等DRG付费相关数据信息。 +-------------------------------+--------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
30,,,需提供数据抽取、数据治理、数据建模功能，为系统和各类报表分析功能提供实时可变动的数据服务。 数据质控,正偏离/无偏离,平台已实现（详见对应功能模块）
31,,,需提供数据质控功能，为系统内各项数据提供实时质控服务。 医保智能审核规则库 预警管理 规则库规则分级预警管理,正偏离/无偏离,平台已实现（详见对应功能模块）
32,,,需提供规则库规则分级预警管理入口，实现对规则库规则预警的3级配置：结算控制，报错控制，提醒控制。 规则管理 规则库预置,正偏离/无偏离,平台已实现（详见对应功能模块）
33,,,需提前预置省市医保审核规则规则库，提供医保费用审核规则，规则主要项目包括但不限于超适应症、药品超适应症、材料与治疗项目不符、项目超频次、项目内涵、药品限制天数、性别限制等。 规则查询,正偏离/无偏离,平台已实现（详见对应功能模块）
34,,,需支持按照规则类型、规则名称、规则分类、规则来源等维度进行规则查询。 规则库规则自定义,待复核,初评未匹配，须项目组逐条人工确认
35,,,需支持增加和补充规则库，可自定义医院提供医保相关违规规则或院内管理规则，需包括有限定范围、规则翻译、豁免设置、不同场景级别控制等配置自定义。 规则库规则启停管理,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
36,,,需支持对规则的生效状态进行开启/关闭管理。 > 飞检自查自纠,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
37,,,提供省级、市级飞检问题清单模板，可根据实际需求选择性针对重点项目进行历史数据自查自纠，统计自查结果，分析违规因素，给出改进方案、建议等服务。 > 医院医保智能审核管理 收费监督 实时收费监督,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
38,,,需支持在门诊诊间、开立医嘱、护士补记账费用、病人预出院等多种场景下，利用医疗费用监测规则库对病人的医嘱、费用进行医保合理性检查。并可通过控制级别对可疑、违规费用进行预警和控制。 个性化建议,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
39,,,需支持实时个性化建议功能，当实时收费监督进行提醒时，为临床提供个性化建议，帮助医生合理化操作。 钉钉消息,正偏离/无偏离,平台已实现（详见对应功能模块）
40,,,需支持钉钉消息功能，接入医院钉钉，可向临床每日定时推送违规汇总报告，提醒医护及时处理。 门诊费用审核,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
41,,,需定时对所有住院病人的费用进行审核。 住院费用审核,正偏离/无偏离,平台已实现（详见对应功能模块）
42,,,需定时对所有门诊病人的费用进行审核。 特批申请/审核,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
43,,,针对诊间提示收费异常的收费信息，需支持临床特批申请功能，支持医保科在线查看、审批功能。 费用批量审核,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
44,,,选定时间范围内的费用，利用医疗费用监测规则库对费用进行批量检查。 医保申诉反馈 疑点导入,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
45,,,需支持对省医保平台的疑点数据进行导入，与系统异常收费进行比对，核对一致率并展示结果。 申诉反馈,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
46,,,需支持对疑点进行批量申诉，已有的特批费用可自动进行申诉。 自动申诉,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
47,,,需支持自动申诉功能，提供维护针对具体项目或者某大类规则的自动申诉填写能力，自动申诉方式可以是自动延续上次理由。 处理方案,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
48,,,需支持违规申诉处理方案功能，为临床提供合理的处理方案建议，帮助临床正确处理违规。 统计分析管理 门诊违规统计与分析,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
49,,,可通过按科室、按规则大类等不同维度分析门诊收费过程中出现的可疑违规费用。通过违规次数排序，分析全院违规次数较多的规则。并展示分析结果。 科室违规统计与分析,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
50,,,可通过按科室等不同维度分析已出院的医保病人可疑违规费用。通过违规次数排序，分析全院违规次数较多的规则。并展示分析结果。 项目违规统计与分析,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
51,,,可通过按照收费项目编码等不同维度分析全院可疑违规费用。通过违规次数排序，分析全院违规次数较多的收费项目。并展示分析结果。 系统管理 菜单管理,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
52,,,可实现对菜单进行添加、修改、查询、删除等操作。 角色管理,正偏离/无偏离,平台已实现（详见对应功能模块）
53,,,可实现创建、更新角色、启用和禁用角色、删除角色等操作。 用户管理,正偏离/无偏离,平台已实现（详见对应功能模块）
54,★,,可实现添加用户、删除用户、停用用户等操作。 权限管理 可实现页面权限管理、操作权限管理、数据权限管理等操作。 +-------------------------------+----------------------------------------------------------------------------------------------------------------,正偏离/无偏离,平台已实现（详见对应功能模块）
55,,,需支持自动去骨，可自动进行血管命名与血管分段，能自动识别并提取血管中心线，选中血管时，影像可动态改变为最便于观察该血管的CPR角度，兼容颅内、颈部、头颈连扫的CTA数据，可切换显示冠/矢/轴位的厚层图像。 容积再现（VR）,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
56,,,需支持含主流工作站风格的不少于4种VR重建效果，可选择是否重建双侧颈外动脉和锁骨下动脉；提供多种体渲染VR类型，动态VR含可实时任意角度旋转且支持推送及打印的全景、颅内、反色、带骨、半透明带骨、带组织等样式，静态VR含12种方位切割的颅内带骨VR；颅内VR支持预设脑动脉颅外段起点，有基于真实体素数据的VR模型；可实时调整VR窗宽窗位，动态VR与动态反色VR支持单独显示左侧、右侧、前循环、后循环血管,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
57,,,需提供动态与静态两类VMIP。动态VMIP含可实时任意角度旋转且支持推送及打印的全景、颅内、全景去骨、全景反色、颅内反色样式，且动态VMIP与动态反色VMIP支持单独显示左侧、右侧、前循环、后循环血管及Willis环；静态VMIP含支持冠状位（A/P）、冠状位中间(A/P)、矢状位（L/R）、矢状位中间(L/R)、轴状位（S/I）、轴状位中间(S/I)共12种方位切割的颅内带骨VMIP；可实时调整,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
58,,,需支持显示断层图像，能重建并显示冠状位、矢状位图像；同时支持任意角度、层厚及层间距的最大密度投影重组、最小密度投影重组与平均密度投影重组。 曲面重组（CPR）,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
59,,,需支持自动创建血管的曲面重组图，预设颅内和颈部血管CPR图像的起点和终点。 曲面矫直图像（SCPR）,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
60,,,需支持360度查看每一支血管的曲面矫直图像，并显示血管分段信息。 血管横截面图像,正偏离/无偏离,平台已实现（详见对应功能模块）
61,,,需支持显示上下等距离取9个点的血管横截面图像，层间距可配置。 最大密度投影（MIP）\ 需支持预设MIP图像的层厚和间距，可自动生成冠状位、矢状位、轴位的去骨MIP图像与带骨MIP图像。 血管编辑,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
62,,,需支持在原始轴位图像上选点进行血管生长，能在动态VR上实时查看生长效果且支持选择不同生长阈值；支持多种裁剪功能，包括在动态VR图像上裁剪任意部分血管、裁剪任意部分血管后保留范围外VR的反向裁剪、裁剪任意血管分支的分支裁剪，以及在动态VR图像上裁剪含血管和其他组织在内任意部分的任意裁剪；还可在MPR图像上整体切割图像重建范围，并在VR图像上实时查看调整后的效果。 轨迹编辑,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
63,,,需支持在CPR图像上用点模式和线模式调整血管中心线轨迹，修改后CPR、拉直图、探针图等实时同步。 血管斑块智能分析,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
64,,,需支持检出可疑斑块并定位其所在血管分段，将血管斑块分为钙化、非钙化、混合三类；能在CPR图像上自动定位可疑斑块的起止点，同时自动标记当前分段的管腔最狭窄处。 血管狭窄智能评估,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
65,,,需支持对管腔狭窄程度进行分级评估，分为未见狭窄、轻度狭窄、中度狭窄、重度狭窄、完全闭塞5级，给出狭窄程度的百分数测量值；同时自动测量狭窄长度，并定位最狭窄处所在的血管分段。 支架分析,正偏离/无偏离,平台已实现（详见对应功能模块）
66,,,需支持检出支架并定位其所在的血管分段。 Willis环变异评估,正偏离/无偏离,平台已实现（详见对应功能模块）
67,,,需支持自动评估Willis环前/后循环的变异情况，可手动修改。 狭窄分级,正偏离/无偏离,平台已实现（详见对应功能模块）
68,,,颅内动脉和颈部动脉需具备两种狭窄分级选择，支持狭窄类型、狭窄类型＋百分比、狭窄类型＋百分比范围三种狭窄程度描述方式。 支架检出,正偏离/无偏离,平台已实现（详见对应功能模块）
69,,,需支持头颈血管支架的检出及定位，支持毫米和厘米两种长度单位。 颅内动脉瘤检出与定位,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
70,,,需支持自动检出可疑颅内动脉瘤，定位所在血管分段。 多角度展示动脉瘤,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
71,,,需支持自动生成MPR图像展示动脉瘤。 动脉瘤标记,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
72,,,需支持在VR、CPR、曲面矫直、MRP图像、原始轴位图像上标记动脉瘤的范围区域。,外部条件,需医保局/省平台等外部环境开通后联调
73,,,动脉瘤轮廓勾画 需支持在原始轴位图像上自动勾画动脉瘤轮廓。 显示/隐藏动脉瘤标记,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
74,,,需支持在VR、MPR、原始轴位图像上显示/隐藏动脉瘤标记。 动脉瘤参数测量,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
75,,,需支持自动测量可疑动脉瘤的参数，包括最大直径、体积、长径、短径、高度、宽度、瘤颈宽度、尺寸比、纵横比。 动脉瘤分析算法,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
76,,,需支持基于深度学习算法对动脉瘤分析。 动脉瘤参数测量,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
77,,,需支持自动测量可疑动脉瘤的最大直径、体积、高度、宽度、瘤颈宽度、长宽比、尺寸比、纵横比。 动脉瘤检出效能,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
78,,,颅内动脉瘤检出功能需经过临床验证，动脉瘤检出率≥95%。 <!-- -->,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
79,,,需支持图像多维交互操作，包括血管中心线可视化、图像四角注释显隐切换、反色显示、操作重置功能，以及原图/VR/VMIP/CPR/拉直图等模态的任意角度及层面截图能力，具备图像质量评估功能。 组合截图,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
80,,,需支持自动拼接VR、CPR、拉直图、探针图等多种图像不同组合方式的组合图并进行截图操作，支持不少于5种拼接方式的组合截图生成。 容积再现（VR）,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
81,,,需支持体渲染动态VR、动态反色VR、真实体素VR模型，可实时调整VR图像的阈值，持不少于3种VR配色方案。 自适应窗宽窗位,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
82,,,需支持根据造影剂注射情况自适应调节VMIP图像的窗宽窗位。 多平面重组（MPR）,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
83,,,需支持多平面重组（MPR），可显示断层图像，重建并显示冠状位、矢状位图像，实现心脏轴位MPR重建及显示心脏长、短轴位图像，支持任意角度、层厚及层间距的最大、最小、平均密度投影重组。 曲面重组（CPR）,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
84,★,,需支持显示冠脉球面视图和平面视图，自动创建曲面重组图、血管横截面图像，支持血管编辑。需支持自动将各类病灶诊断结果汇总展示。识别冠脉优势型，提示冠脉起源，检出可疑斑块并定位所在血管分段，将血管斑块分为钙化、非钙化、混合3类，将狭窄类型分为局限性、节段性、弥漫性3类，检出支架、心肌桥，自动将管腔狭窄程度分为6级，并自动计算狭窄率。 +-------------------------------+--,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
85,,,提前写入患者信息，患者佩戴当天可直接佩戴即可；,正偏离/无偏离,平台已实现（详见对应功能模块）
86,,,实时显示预约数量，佩戴数量。一个界面完成预约，佩戴，重背，录入等步骤；,正偏离/无偏离,平台已实现（详见对应功能模块）
87,,,软件支持预约、检查、诊断优先设置，针对紧急病人可以设置优先预约、优先检查以及优先诊断，系统具有高优先级病人记录的标注，醒目字体标识；,正偏离/无偏离,平台已实现（详见对应功能模块）
88,,,软件可直接打印预约登记检查单，自动生成条码信息及检查注意事项提示。 **二、信息录入系统**,正偏离/无偏离,平台已实现（详见对应功能模块）
89,,,采集端负责记录盒原始数据的录入。可独立于分析软件之外的数据录入系统，支持在医院进行科室分布式的设备安放；,正偏离/无偏离,平台已实现（详见对应功能模块）
90,,,采集端支持录入病人信息，后续分析环节无需重复录入；,待复核,初评未匹配，须项目组逐条人工确认
91,,,支持接入条形码扫描器进行扫描预约单录入信息，减少人工录入时间；,正偏离/无偏离,平台已实现（详见对应功能模块）
92,,,关键字查阅病人实时状态，亦可查阅病例的实时状态。 <!-- -->,待复核,初评未匹配，须项目组逐条人工确认
93,,,分析软件需免费兼容医院现有动态心电，动态血压设备，并以原始数据入网；,正偏离/无偏离,平台已实现（详见对应功能模块）
94,,,"分析软件部署在服务器上，支持WEB访问分析软件,不限制工作站点数量；",待复核,初评未匹配，须项目组逐条人工确认
95,,,全导联预分析，0时长等待，所有导联参与分析，无需选择导联，调整参数，自动分析完成后并以简单的文字报告结论形式提示当前心电数据分析情况；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
96,,,分析软件提供多种人性化操作菜单，按照医生浏览、编辑、总结的操作习惯设置工具菜单，更加符合人机对话；,正偏离/无偏离,平台已实现（详见对应功能模块）
97,,,分析软件以模板为中心构建多种直方图、散点图、叠加图多画面同时互动，快速找到异常心电图提高编辑效率；,正偏离/无偏离,平台已实现（详见对应功能模块）
98,,,分析软件具有双导联叠加分析功能。便于进行复杂心电图分析；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
99,,,分析软件具有一键房颤重分析功能，自动识别房颤；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
100,,,分析软件具有QT间期分析、心电向量分析、心率震荡分析、T波电交替分析、心室晚电位分析、心率减速分析、睡眠窒息分析等多种高级工具分析；,正偏离/无偏离,平台已实现（详见对应功能模块）
101,,,分析软件具有一键自动起搏器分类分析；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
102,,,分析软件具有房扑分析功能；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
103,,,分析软件HR时域、频域分析等功能；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
104,,,分析软件具有ST-T段，ST段分析可根据心率自适应分析调整；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
105,,,分析软件具有T波分析及事件统计功能；,正偏离/无偏离,平台已实现（详见对应功能模块）
106,,,"分析软件具有一键""智能结论""功能，可自定义设置报告，自定义分析结论模板，自动按照分析情况生成报告结论，无需手动输入；",正偏离/无偏离,平台已实现（详见对应功能模块）
107,,,分析软件报告编辑按照报告处理的先后顺序排列菜单（最快心率、最慢心率、房早事件等顺序），医生可根据24小时心率趋势图的时间段进行实时图条保存。 **动态血压数据展示统计系统功能：**,正偏离/无偏离,平台已实现（详见对应功能模块）
108,,,提供血压脉搏波波形显示功能，辅助医生进行二次诊断；,正偏离/无偏离,平台已实现（详见对应功能模块）
109,,,智能识别病人测量状态，包括静止、心律失常、轻/中/重度运动等；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
110,,,提供多种图表辅助分析工具，包括趋势图、相关图、饼图、直方图、昼夜规律图、比较图等；,待复核,初评未匹配，须项目组逐条人工确认
111,,,提供血压变异系数、夜间血压下降比、血压负荷、晨峰血压等分析指标；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
112,,,提供血压负荷、白大衣性高血压、隐匿性高血压、昼夜节律、动态动脉硬化指数等自动分析结论；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
113,,,支持双臂血压分析；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
114,,,支持PDF报告打印，自定义模板报告，彩色打印等功能；,正偏离/无偏离,平台已实现（详见对应功能模块）
115,,,持EXCEL导出功能。 **四、科室管理系统**,正偏离/无偏离,平台已实现（详见对应功能模块）
116,,,软件具有医生排班系统，根据排版日历管理医生的工作日及工作量；,正偏离/无偏离,平台已实现（详见对应功能模块）
117,,,软件支持实时管理科室设备佩戴情况、患者预约登记情况 、数据录入及分析情况；,正偏离/无偏离,平台已实现（详见对应功能模块）
118,,,统计科室工作量，并导出EXCLE数据；,正偏离/无偏离,平台已实现（详见对应功能模块）
119,,,科室设备管理，实时显示科室设备状态，便于医生统一调度。 **五、报告管理及电子签名**,正偏离/无偏离,平台已实现（详见对应功能模块）
120,,,报告首页支持自动编辑和自定义编辑；,正偏离/无偏离,平台已实现（详见对应功能模块）
121,,,软件支持图片电子签名和CA认证电子签名；,正偏离/无偏离,平台已实现（详见对应功能模块）
122,,,软件支持打印预览，支持自定义打印调整，支持黑白彩色打印；,正偏离/无偏离,平台已实现（详见对应功能模块）
123,,,软件支持多种报告格式。系统可与医院现有集成平台进行对接，提供集成平台所需的检查状态、检查结论、检查报告等相关信息；,正偏离/无偏离,平台已实现（详见对应功能模块）
124,,,支持与电子病历系统集成，实现将心电图、动态心电、动态血压检查结果传输至电子病历系统。 **六、信息化及数据管理**,正偏离/无偏离,平台已实现（详见对应功能模块）
125,,,软件需与医院HIS等第三方信息集成平台进行数据对接；,正偏离/无偏离,平台已实现（详见对应功能模块）
126,,,软件系统提供多院区数据互联互通解决方案，医生在任意院区均可直接同步历史数据；,正偏离/无偏离,平台已实现（详见对应功能模块）
127,,,医院开放网络环境的情况下，软件系统支持直接开展远程诊断业务，无需再进行重复建设；,正偏离/无偏离,平台已实现（详见对应功能模块）
128,,,软件支持大容量存储，数据统一存储，随时调取便于管理和提供科研数据；,待复核,初评未匹配，须项目组逐条人工确认
129,,,在线存储全部动态心电资料；支持数据挖掘。提供各种格式的数据导出，对比，分析；,正偏离/无偏离,平台已实现（详见对应功能模块）
130,,,支持局域网内远程管理，便于日常运行维护及故障处理；,待复核,初评未匹配，须项目组逐条人工确认
131,★,,软件兼容国产操作系统。 +-------------------------------+-----------------------------------------------------------------------------------------------------------------------------------------------------------,待复核,初评未匹配，须项目组逐条人工确认
132,,,支持在医生开方阶段对处方/医嘱的用药合理性进行实时审查，并给予医生提示，对于严重的用药问题可以直接在医生端进行拦截；,正偏离/无偏离,平台已实现（详见对应功能模块）
133,,,支持对处方/医嘱中用法用量、相互作用、配伍禁忌、重复用药、禁忌症、适应症、特殊人群用药、妊娠期用药、哺乳期用药、过敏、给药途径等不合理用药情况进行自动审查。 干预配置功能,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
134,,,支持设置处方/医嘱用药问题提示的科室及提示信息的类型和等级；,正偏离/无偏离,平台已实现（详见对应功能模块）
135,,,支持门诊按处方或按患者提示医生用药问题，按患者提示即合并患者当日所有有效处方进行审核；,正偏离/无偏离,平台已实现（详见对应功能模块）
136,,,支持门诊跨就诊合并审查，例如合并审查过去7天（可设置）内患者在本院是否已开具过重复处方；,正偏离/无偏离,平台已实现（详见对应功能模块）
137,,,支持配置住院长期医嘱和临时医嘱之间是否开启重复用药审查；,正偏离/无偏离,平台已实现（详见对应功能模块）
138,,,支持配置门诊处方或住院医嘱特殊给药频率（如st、once）是否开启重复用药审查；,正偏离/无偏离,平台已实现（详见对应功能模块）
139,,,处方/医嘱干预结果查询；,正偏离/无偏离,平台已实现（详见对应功能模块）
140,,,支持处方/医嘱及干预结果的自动采集和保存，支持药师实时查看医生开具的处方/医嘱及发生的用药问题；,正偏离/无偏离,平台已实现（详见对应功能模块）
141,,,支持药师对具体审查结果对应的知识库规则进行确认/待查操作，或对知识库进行修改完善；,正偏离/无偏离,平台已实现（详见对应功能模块）
142,,,支持医生登入系统，查看本人的全部问题处方和处方审核结果；,正偏离/无偏离,平台已实现（详见对应功能模块）
143,,,支持科主任/医院管理人员登入系统，查看本科室或本院的全部问题处方/医嘱及审核结果；,正偏离/无偏离,平台已实现（详见对应功能模块）
144,,,干预效果分析；,待复核,初评未匹配，须项目组逐条人工确认
145,,,支持图表化展示实时干预效果（每小时更新）；,待复核,初评未匹配，须项目组逐条人工确认
146,,,实时统计当日处方数、干预处方数、拦截处方数、审查次数、干预率及拦截率；,正偏离/无偏离,平台已实现（详见对应功能模块）
147,,,实时统计当日住院患者数、干预患者数、拦截患者数、审查次数、干预率及拦截率；,正偏离/无偏离,平台已实现（详见对应功能模块）
148,,,支持展示干预效果趋势图；,待复核,初评未匹配，须项目组逐条人工确认
149,,,支持展示警示信息发生数柱状图；,待复核,初评未匹配，须项目组逐条人工确认
150,,,支持展示门诊/住院干预量科室前十名；,正偏离/无偏离,平台已实现（详见对应功能模块）
151,,,支持展示警示信息发生数药品前十名；,待复核,初评未匹配，须项目组逐条人工确认
152,,,支持干预效果分析统计；,正偏离/无偏离,平台已实现（详见对应功能模块）
153,,,支持按医院/科室/医生维度查看处方总数、审查次数、干预处方数、拦截处方数等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
154,,,支持按医院/科室维度查看住院患者总数、审查次数、干预患者数、拦截患者数等指标；,正偏离/无偏离,平台已实现（详见对应功能模块）
