序号,参数摘要,建议结论,证据/理由
440,门诊抗肿瘤药物临床使用情况汇总；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
449,全院药品使用情况分析；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
456,全院药品使用分析（含在院）；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
458,全院药品使用情况分析（含在院）；,功能等效,药事分析页已提供用药TOP/中西药构成/DDD强度/月度经费（/drug-analysis）；专项报表集属点评软件，基础数据均可由报表引擎（SELECT 白名单）自定义
494,支持在药师审核任务时，展示干预阶段医生预先填写的特别用药理由。,涉配套产品,处方点评软件参数；平台审方工作台（reviewStatus 状态机）已备基础
524,支持药师已收藏案例的筛选查看；,涉配套产品,处方点评软件参数；平台审方工作台（reviewStatus 状态机）已备基础
567,支持Android4.4及以上版本，iOS8.0及以上版本，鸿蒙等操作系统。,功能等效,患者端/移动工作台为 H5 方案，任意现代浏览器与微信内运行，与终端 OS 版本解耦
574,支持算法标准：SM2、SM3。,涉配套产品,CA 产品参数；平台 SignatureAdapter SPI 接入点就绪（ADR 系列）
576,提供时间源管理。,涉配套产品,CA 产品参数；平台 SignatureAdapter SPI 接入点就绪（ADR 系列）
589,支持自定义证书扩展域管理；,涉配套产品,CA 产品参数；平台 SignatureAdapter SPI 接入点就绪（ADR 系列）
593,支持自定义证书扩展域管理；,涉配套产品,CA 产品参数；平台 SignatureAdapter SPI 接入点就绪（ADR 系列）
600,能够按需免费扩展，无接入通讯点数量限制。,涉配套产品,CA 产品参数；平台 SignatureAdapter SPI 接入点就绪（ADR 系列）
604,通过参数而非编程的方式，能够对接各类异构信息系统而无论其底层技术栈何种技术，如JMS、Web服务功能、JDBC、HTTP、File、FTP、及其它等80多种协议。,涉配套产品,重型 ESB 产品参数；平台 int_adapter 文件/DB 路由雏形已备
607,准许通过XSLT能够予以完成对XML格式的转换，能够XML标准定义。,涉配套产品,重型 ESB 产品参数；平台 int_adapter 文件/DB 路由雏形已备
610,能够对已有功能业务流程的重新编排，然后组合生成新的业务流程。,涉配套产品,重型 ESB 产品参数；平台 int_adapter 文件/DB 路由雏形已备
612,其他数据资料库连接能够采用自定义方式连接。,涉配套产品,ESB 数据源连接器产品参数；平台 int_adapter DB 适配器已备基础
620,能够显示企业级服务功能总线信息系统架构的监测结果，包括服务功能器系统资源情况、Flow（服务功能业务流程）情况监测、部署情况监测。,涉配套产品,重型 ESB 产品参数；平台 int_adapter 文件/DB 路由雏形已备
757,提供对主数据的明细数据注册、修改、注销功能，支持明细数据的批量操作，确保主数据明细准确、完整。,功能等效,主数据批量导入 API（药品/收费 CSV upsert）+ 数据元管理
793,所有知识可以选择使用平台已有知识，也可以复用其他医院已有经验。 > 知识证据,功能等效,规则库（CDSS/DRG/审核）均为数据表——标准产品字典包即跨院复用机制
829,支持界面自定义布局。,部分响应,病历模板/报表引擎自定义已备；页面级拖拽布局属低代码产品
838,支持人工手动调整队列顺序。 +-----------------------------------------------------------------------------------------------------+ +---------------------------------------------------------------------------------,部分响应,叫号过号/重呼/顺延已备；人工拖拽排序为深化项
865,支持复制粘贴。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+,功能等效,标准 Web 交互原生支持；医嘱复制既往方案已备
867,支持按日导入。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+ ,功能等效,患者/工资/字典/医保对照四类批量导入均已备（幂等）
878,对可合并项目自动整合至同一时段。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,检查检验时段预约自动合并同时段（AM/PM 顺序号）
948,窗宽窗位调节：支持自动计算与手动精细调节，适应不同组织对比度需求。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------+,涉配套产品,影像后处理/阅片/病理工作站产品；平台 RIS/病理流转与 PACS 接入点已备
949,多模态伪彩映射：内置黑白反向、彩虹色、金属色、火红、热金属蓝及混合模式等多种预设，满足多样化阅片习惯。 +---------------------------------------------------------------------------------------------------------------------------------------------------,涉配套产品,影像后处理/阅片/病理工作站产品；平台 RIS/病理流转与 PACS 接入点已备
950,图像增强：提供图像锐化与增强算法，提升细节辨识度。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------+,涉配套产品,影像后处理/阅片/病理工作站产品；平台 RIS/病理流转与 PACS 接入点已备
951,支持无损缩放、平移漫游、水平/垂直翻转及任意角度旋转等基础几何变换。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------+,涉配套产品,影像后处理/阅片/病理工作站产品；平台 RIS/病理流转与 PACS 接入点已备
954,"在执行测量、翻转、窗宽窗位调整等操作后，支持""一键重置""至初始状态，确保阅片流程高效无忧。 +---------------------------------------------------------------------------------------------------------------------------------------------------------",涉配套产品,影像后处理/阅片/病理工作站产品；平台 RIS/病理流转与 PACS 接入点已备
968,在接诊病人管理中，支持多病人接诊模式。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,医生站接诊队列多患者切换；加号=排班容量调整；退号联动收费拦截（3006）；转科已备
976,能够诊间加号、转诊、转介、退号等功能。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,医生站接诊队列多患者切换；加号=排班容量调整；退号联动收费拦截（3006）；转科已备
1033,拥有费用相关汇总。 +---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,住院费用汇总/每日清单/押金预警 + 患者端费用明细
1042,能够简卡和明细卡另种显示方式。 +-----------------------------------------------------------------------------------------------------------------+,功能等效,住院费用汇总/每日清单/押金预警 + 患者端费用明细
1056,费用管控。 +-----------------------------------------------------------------------------------------------------------------+,功能等效,住院费用汇总/每日清单/押金预警 + 患者端费用明细
1067,实现了对元素库信息的具体详情内容的预先查阅，和对元素库信息的基础信息实施编辑、给指定的元素库增加子类元素库等能力。 +---------------------------------------------------------------------------------------------------------------------------------------------,部分响应,报表引擎（SELECT 白名单）+ 数据元管理已备；可视化元素库属报表平台产品
1071,实现了对数据源信息的具体详情内容的预先查阅，和对数据源信息的基础信息实施编辑、给指定的数据源增加子类数据源等能力。 +---------------------------------------------------------------------------------------------------------------------------------------------,部分响应,报表引擎（SELECT 白名单）+ 数据元管理已备；可视化元素库属报表平台产品
1125,在门诊配药模式上，系统支持两种方式：一种是不纳入系统严格流程管理的简易配药模式，另一种是纳入系统全流程管理的规范化配药模式。 +----------------------------------------------------------------------------------------------------------------------------------------,功能等效,门诊发药全流程（CHARGED→DISPENSED 原子扣库存）即规范化模式
1168,系统支持自定义每月的月结日期。首次月结基于初始化建账的日期，之后每个月的月结周期则从上一次月结的终止时间开始计算。 +---------------------------------------------------------------------------------------------------------------------------------------------,部分响应,日结报表+交款核对已备（/reports/daily）；自定义月结周期/取消月结为财务深化项
1169,系统提供了取消月结的功能，但为确保数据连续性，取消操作必须从最后一个已月结的月份开始，逐月向前进行，不允许跨月取消。 +--------------------------------------------------------------------------------------------------------------------------------------------,部分响应,日结报表+交款核对已备（/reports/daily）；自定义月结周期/取消月结为财务深化项
1188,支持特殊医学符号、表达式及医学矢量图标注。 +----------------------------------------------------------------------------------------+,涉配套产品,商用病历编辑器控件参数；平台病历模板/打印数据集已备
1199,可预设药品默认剂量、频次、用法。 +----------------------------------------------------------------------------------------+,功能等效,开单默认带出药品用法/频次/单次剂量（医生站 OrderLine）
1240,支持续打、按页打等多种模式。 +----------------------------------------------------------------------------------------+,涉配套产品,商用病历编辑器控件参数；平台病历模板/打印数据集已备
1298,实现了对元素库信息的具体详情内容的预先查阅，和对元素库信息的基础信息实施编辑、给指定的元素库增加子类元素库等能力。 +---------------------------------------------------------------------------------------------------------------------------------------------,部分响应,报表引擎（SELECT 白名单）+ 数据元管理已备；可视化元素库属报表平台产品
1302,实现了对数据源信息的具体详情内容的预先查阅，和对数据源信息的基础信息实施编辑、给指定的数据源增加子类数据源等能力。 +---------------------------------------------------------------------------------------------------------------------------------------------,部分响应,报表引擎（SELECT 白名单）+ 数据元管理已备；可视化元素库属报表平台产品
1346,系统提供缺药替换功能。当某种药品缺货或被禁用时，允许使用具有相同规格但生产厂家不同的同种药品进行替换，以保证临床用药不中断。 +----------------------------------------------------------------------------------------------------------------------------------------,部分响应,药库进销存统一流水与退药已备；批次/效期/扫码属库房深化项
1389,系统支持自定义每月的月结日期。首次月结基于初始化建账的日期，之后每个月的月结周期则从上一次月结的终止时间开始计算。 +---------------------------------------------------------------------------------------------------------------------------------------------,部分响应,日结报表+交款核对已备（/reports/daily）；自定义月结周期/取消月结为财务深化项
1390,系统提供了取消月结的功能，但为确保数据连续性，取消操作必须从最后一个已月结的月份开始，逐月向前进行，不允许跨月取消。 +--------------------------------------------------------------------------------------------------------------------------------------------,部分响应,日结报表+交款核对已备（/reports/daily）；自定义月结周期/取消月结为财务深化项
1392,系统全面支持对药品的批次管理，能够追踪每一批次的药品流向。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,药库进销存统一流水与退药已备；批次/效期/扫码属库房深化项
1406,可按照行业标准格式自动生成器械清点记录单，同时支持根据医院实际管理需求，定制化调整记录单格式，适配院内器械管理规范。 +--------------------------------------------------------------------------------------------------------------------------------------------,部分响应,CSSD 四环节追溯链已备（回收→清洗→灭菌→发放，越级拦截）；器械明细/丢失登记为深化项
1411,可按照行业通用标准格式自动生成安全核查记录单，同时支持结合医院实际管理规范，定制化调整记录单的内容与格式，全面适配院内安全核查工作需求。 +----------------------------------------------------------------------------------------------------------------------------------,部分响应,手术麻醉记录单已备（术中时间轴/PACU）；三方安全核查表单为手麻深化项
1759,具备对比审核、阈值自动审核功能。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,LIS 流转与危急值（HH/LL）自动判读已备；室内质控阈值引擎为 LIS 深化项
1760,支持阈值自动审核机制。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,LIS 流转与危急值（HH/LL）自动判读已备；室内质控阈值引擎为 LIS 深化项
1763,支持项目质控的确定。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,LIS 流转与危急值（HH/LL）自动判读已备；室内质控阈值引擎为 LIS 深化项
1766,支持智能审核历史结果分析。 +-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,LIS 流转与危急值（HH/LL）自动判读已备；室内质控阈值引擎为 LIS 深化项
1860,支持会申请单时效控制。 +----------------------------------------------------------------------------+,功能等效,会诊管理已备（申请/应答/时限质控）
1880,套餐维护可将同类项目均维护至一个套餐，项目及套餐均支持单选折扣维护；项目开单时系统根据客户所提供相关信息自动过滤掉不符情况的项目，避免开单错误；开单时支持单项或多项赠送（不计费）。 +------------------------------------------------------------------------------------------------------------,部分响应,体检个检/团检/异常率已备；套餐折扣/多屏/弃检为体检深化项
1906,支持多屏显示，便于客户确认自己的相关基本信息；同时方便客户问卷调查。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,体检个检/团检/异常率已备；套餐折扣/多屏/弃检为体检深化项
1908,系统提供折扣比、折扣金额（抹零）、上浮金额、实收定价等多种折扣模式。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,体检个检/团检/异常率已备；套餐折扣/多屏/弃检为体检深化项
1953,根据操作员使用情况提供记忆功能，操作员常用结论词排于前方。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,体检个检/团检/异常率已备；套餐折扣/多屏/弃检为体检深化项
1987,可查看客户当前所处环节及各环节情况。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,体检个检/团检/异常率已备；套餐折扣/多屏/弃检为体检深化项
1988,可对客户项目进行弃检、反弃检等。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,体检个检/团检/异常率已备；套餐折扣/多屏/弃检为体检深化项
2040,医生工号发生变化时，可在手机上修改绑定的工号。 +-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,涉配套产品,互联网医院医生 APP 产品参数；平台移动工作台 /m 已提供院内 H5
2056,支持通过扫描药瓶条码的方式进行配药管理。 +----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,药库进销存统一流水与退药已备；批次/效期/扫码属库房深化项
2076,通过扫描配送单二维码获取药品配送信息，进行接收操作。支持扫描配送单号或者药品条码号。 +------------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,药库进销存统一流水与退药已备；批次/效期/扫码属库房深化项
2210,支持静态图像上下翻转、左右翻转、放大、缩小、裁剪编辑功能；支持静态图像角度、直线、箭头、圆、矩形、多边形和文字等批注工具。 +-----------------------------------------------------------------------------------------------------------------------------------------,涉配套产品,图像批注控件产品参数；平台报告文本与附件台账已备
2270,支持静态图像上下翻转、左右翻转、放大、缩小、裁剪编辑功能；支持静态图像角度、直线、箭头、圆、矩形、多边形和文字等批注工具。 +-----------------------------------------------------------------------------------------------------------------------------------------,涉配套产品,图像批注控件产品参数；平台报告文本与附件台账已备
2303,支持出诊记录查看调阅，查看待出诊列表信息。 +------------------------------------------------------------------------------+,涉配套产品,院前急救系统参数；平台急诊预检分诊（I-IV 级）与留观已备
2305,支持查看出诊地图轨迹，查看出诊路线。 +------------------------------------------------------------------------------+,涉配套产品,院前急救系统参数；平台急诊预检分诊（I-IV 级）与留观已备
2311,支持点选、文字等记录出诊过程中的急救措施和急救操作等。 +------------------------------------------------------------------------------+,涉配套产品,院前急救系统参数；平台急诊预检分诊（I-IV 级）与留观已备
2336,支持特殊病种（绿色通道）的标识，并可根据需求自定义。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------+,功能等效,急诊预检分诊 I 级即绿色通道队列（可自定义级别名）
2345,支持快速添加或移除群体时间标记。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------+,部分响应,团检分组已备；群体标记快捷操作为深化
2349,支持接收院前出诊信息，快速查看院前信息。 +------------------------------------------------------------------------------------------------------------------------------------------------------------------+,涉配套产品,院前急救系统参数；平台急诊预检分诊（I-IV 级）与留观已备
2410,根据授权书写、编辑医疗文书。 +--------------------------------------------------------------------------------------------+,功能等效,病历模板 + 住院病历（入院/病程/出院小结）+ CA 签名冻结
2411,支持快速创建医疗文书，支持历史文书调阅编辑。 +--------------------------------------------------------------------------------------------+,功能等效,病历模板 + 住院病历（入院/病程/出院小结）+ CA 签名冻结
2434,支持批量转归，记录转归去向等信息。 +--------------------------------------------------------------------------------------------+,功能等效,急诊留观去向登记（er_observation）；出院转归属病案首页
2445,实现了对数据源数据的详细信息的预览，以及对数据源数据的基本信息进行修改、给指定的数据源新增子类数据源等功能。 （6）参数管理,部分响应,报表引擎（SELECT 白名单）+ 数据元管理已备；可视化元素库属报表平台产品
2486,实施智能摘要高亮技术，在结果列表中截取包含命中文本的片段，并对关键词进行醒目标红处理，提升阅读效率。 +------------------------------------------------------------------------------------------------------------+,部分响应,CDR ILIKE 全文检索已备；高亮/布尔检索为搜索深化项
2493,"引入""逻辑非（NOT）""排除机制，允许设定负向关键词过滤条件，精准剔除无关干扰数据。 +------------------------------------------------------------------------------------------------------------+",部分响应,CDR ILIKE 全文检索已备；高亮/布尔检索为搜索深化项
2523,大体取材工作站。 +---------------------------------------------------------------------------------------------------------------------------------------------------------+,涉配套产品,影像后处理/阅片/病理工作站产品；平台 RIS/病理流转与 PACS 接入点已备
2631,能够建立与管理随机抽样样本。 +-------------------------------------------------------------------------------------------------------------------------------+,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
2666,支持逻辑性、合理性、国家直报标准等多类型校验。 +----------------------------------------------------------------------+,功能等效,数据质量 6 规则引擎 + 数据填报审批（dg_ 系列）
2693,支持复印记录检索。 +----------------------------------------------------------------------+,部分响应,病案归档已备；复印登记为病案室深化项
2699,支持订单管理。 +----------------------------------------------------------------------+,功能等效,统一订单行 outp_order/采购单据链 pur_doc 双体系
2729,支持数据自动校验与后台映射转换，不影响院内规则。 +----------------------------------------------------------------------+,功能等效,数据质量 6 规则引擎 + 数据填报审批（dg_ 系列）
2731,支持分院数据独立处理与总院汇总。 +----------------------------------------------------------------------+,部分响应,单院实例形态（产品化方案）；多院区汇总走 CDR/报表跨库方案
2735,支持随机抽样评审，自动计算评审比例。 +----------------------------------------------------------------------+,功能等效,质控抽检支持计划/临时抽检（qc_check），满意度/现患率支持一键抽样生成；按药品/医生等维度抽样属点评软件深化
2791,系统提供了取消月结的功能，但为确保数据连续性，取消操作必须从最后一个已月结的月份开始，逐月向前进行，不允许跨月取消。 +--------------------------------------------------------------------------------------------------------------------------------------------,部分响应,日结报表+交款核对已备（/reports/daily）；自定义月结周期/取消月结为财务深化项
2795,生产企业信息管理：此模块专门用于管理与医院有业务往来的所有生产企业的详细信息，包括但不限于生产企业的名称、资质、联系方式。 +-----------------------------------------------------------------------------------------------------------------------------------------,功能等效,供应商/生产商证照台账 hrp_supplier_cert 已备 90 天到期预警（/hrp/equipment）
2850,支持预警结果处能直接显示预警原因。,功能等效,危急值/健康告警/医保审核提醒均携带原因文本直显
2851,支持预置丰富专业预警策略；,部分响应,院感/运维告警框架已备（阈值+工单联动）；自由组合策略引擎属专业软件深化
2853,支持自定义预警策略，各条件可自由组合。至少包含以下条件：,部分响应,院感/运维告警框架已备（阈值+工单联动）；自由组合策略引擎属专业软件深化
2858,送检项目以及检出病原体；,部分响应,院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
2859,抗生素以及持续使用抗生素X天以上；,部分响应,院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
2871,支持自定义趋势条件，各条件可任意组合。,部分响应,院感/运维告警框架已备（阈值+工单联动）；自由组合策略引擎属专业软件深化
2919,对于医院现有系统不支持的监测内容，能够通过手工补充内容。,功能等效,院感报卡/三管监测均支持手工登记补充
2920,支持前瞻性监测，能对感染过程进行追踪、监测。,部分响应,院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
2949,支持生成MDR、XDR、PDR各种耐药类型。,部分响应,院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
2950,支持ESBL+监测。,部分响应,院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
2953,支持提供多重耐药病人督导表。,部分响应,院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
3010,支持对比手消用品领用情况。,部分响应,院感/运维告警框架已备（阈值+工单联动）；自由组合策略引擎属专业软件深化
3034,支持法律法规、操作规范等学习内容发布。,功能等效,OA 制度文件库（上传/检索/在线预览）承载法规与操作规范发布
3048,支持生成多重耐药菌感染发现率。,部分响应,院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
3049,支持生成多重耐药菌感染检出率。,部分响应,院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
3051,支持生成医务人员手卫生依从率。,部分响应,院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
3059,支持生成导尿管相关泌尿系统感染发病千分率。,功能等效,CAUTI 千日率已实现（inf_catheter 三管监测，不足 1 日按 1 日计）
3060,支持生成血液透析相关血流感染发病率。,部分响应,院感专项已备：三管千日率（含导尿管泌尿系统感染千分率）/现患率一键调查/报卡闭环；耐药谱与手卫生依从率需检验微生物数据源，属专业院感监测软件深化
3070,支持医院风险因素评估。,部分响应,院感/运维告警框架已备（阈值+工单联动）；自由组合策略引擎属专业软件深化
3073,支持模版自定义。,部分响应,病历模板/报表引擎自定义已备；页面级拖拽布局属低代码产品
3075,支持发送通知通过到临床医生端。,功能等效,危急值/告警联动 + 订阅推送（dg_subscription Mock 通道）
3085,支持有独立的部署程序和服务。,功能等效,独立发布产物（jar+dist+compose），tools/release.py 打包
3086,支持批量导入。,功能等效,患者/工资/字典/医保对照四类批量导入均已备（幂等）
3087,支持定时自动执行也支持手工运行。,功能等效,自动对账（@Scheduled+手动触发双模式）、备份任务计划同模式
3091,支持数据提取支持多种系统来源。,功能等效,CDR 多源抽取（JdbcTemplate 只读+增量水位）+ int_adapter 文件/DB 源
3106,支持C/S、B/S架构；调用方式灵活。,功能等效,平台为 B/S 架构、独立部署产物（jar+dist），不依赖医生工作站
3114,支持独立运行，有无医生工作站均可。,功能等效,平台为 B/S 架构、独立部署产物（jar+dist），不依赖医生工作站
3116,支持提供C/S、B/S两种架构的解决方案。,功能等效,平台为 B/S 架构、独立部署产物（jar+dist），不依赖医生工作站
3152,居民死亡医学证明（推断）书。 +-----------------------------------------------------------------------------------------------------------------------------------------+,部分响应,病案首页/打印数据集框架可承载；死因链表单为专项深化
3165,具备外部数据映射能力，支持表项直接对接业务数据库实现实时数据源引用。 +--------------------------------------------------------------------------------------------------------------------------------------------------------------------,功能等效,报表引擎直连业务库白名单查询；数据治理术语映射已备
3228,具备多人员并发指派能力，支持将复杂事件的调查或处理任务同时分配给多名具体责任人协作完成。 +----------------------------------------------------------------------------------------------------------------------------------------------------------,部分响应,不良事件处理流转已备；多人并行指派为深化项
