序号,实质性★,重要▲,参数摘要,响应结论,响应说明
14,,,DRG智能查漏：提供全院可优化DRG入组病例的智能查询并提供对应病例医保结算清单的便捷优化调整。 <!-- -->,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
15,,,质控规则管理：内置国家和地方制定的清单质控规则，支持结算清单质控规则的按需启用/停用等；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
16,,,清单智能生成：从HIS/病案系统自动获取结算清单所需数据并自动生成对应病例的医保结算清单，支持查询、修改及归档等操作；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
17,,,清单质控管理：调用结算清单质控规则对清单的完整性、逻辑性、规范性、入组合理性等方面进行智能校验，以便医务人员及时完善结算清单的填写；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
18,,,清单质控分析：以图形化界面或表格等形式对质控结果进行汇总分析，帮助管理人员准确掌握清单问题情况及分布、排名等信息；,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
19,,,结算清单上传：清单经过医务人员优化调整并标记后，直接调用四川省医保信息平台相关接口进行上传，并提供上传结果的查询等。 <!-- -->,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
20,,,病例完整性校对：支持自定义条件查询病例完整性校对结果及错误分布情况并导出为Excel文件，支持透视查看指定病例完整质控信息；,部分响应,已提供：病历完整性校对引擎，自动判定缺入院记录、缺出院小结、出院小结未签名、病程记录不足、缺手术记录、缺术前小结、缺手术知情同意等缺项；病案室工作队列逐份列出缺项清单与缺项数；病案首页页面可透视查看指定病例的质控汇总与缺项。尚未提供：(1) 自定义条件查询（当前工作队列为固定范围的出院未归档病历）；(2) 完整性错误分布统计；(3) 校对结果导出 Excel。上述缺项列入后续开发计划。
21,,,病例逻辑性校对：支持自定义条件查询病例逻辑性校对结果及错误分布情况并导出为Excel文件，支持透视查看指定病例完整质控信息；,部分响应,平台当前提供病历完整性校对（判定各类记录是否缺失、是否签名等）。本条所述病例逻辑性校对（性别与诊断、年龄与诊断、入出院与手术日期先后、诊断与操作匹配等跨项一致性校验）及其自定义条件查询、错误分布统计与导出 Excel 尚未提供，列入后续开发计划。
22,,,病例综合评分：支持自定义条件查询病例综合评分结果、评分结果排名TOP10、病例扣分情况、扣分原因等信息，支持将评分结果导出为Excel文件；,正偏离/无偏离,由病案质控页面提供：支持按月份、科室、等级自定义条件查询病历综合评分结果，展示评分汇总、评分排名 TOP10、扣分项 TOP10（含发生次数与扣分合计）、扣分原因及科室排名；提供评分统计与扣分项两类导出（CSV 格式，Excel 可直接打开）。评分采用百分制扣分模型，按设定阈值自动判定甲、乙、丙级。
23,,,病案质控分析：以图形、表格等形式对院内病案质控情况进行分析，包括病案问题分布/排名、科室/医师排名等。 <!-- -->,部分响应,已提供：病案质控页面以柱状图与表格展示月度×科室的甲乙丙份数、甲级率与均分，病案问题（扣分项）分布与排名，科室排名及分类汇总。尚未提供：医师维度排名（当前评分单仅记录质控员，未按责任医师统计）。上述缺项列入后续开发计划。
24,,,全院分析：基于医保结算反馈数据实现对指定周期内全院超高及超低病案数、总费用、医保结算金额、医保付费差额等信息进行统计及分析；,部分响应,已提供：DRG 分析全院口径展示入组例数、总费用、标杆支付合计与付费差额合计。尚未提供：(1) 指定周期筛选统计；(2) 全院超高、超低倍率病案数汇总（当前仅逐例标注）；(3) 基于医保结算反馈数据的统计（当前以院内结算数据与院内设定费率计算，尚未建立医保 DRG 结算反馈数据导入）。上述缺项列入后续开发计划。
25,,,科室/医生分析：监测全院各科室/医生DRG付费业务指标情况，DRG付费预测情况，并支持对各科室/医生下亏损/错误病例等进行分析；,部分响应,已提供：科室维度 DRG 指标（入组例数、总权重、CMI、次均费用）；病例级逐例展示结余与付费标志，亏损病例标红。尚未提供：(1) 医生维度的 DRG 指标统计；(2) DRG 付费预测（当前仅为按权重与费率的标杆支付计算）；(3) 按科室/医生下钻筛选亏损、错误病例。上述缺项列入后续开发计划。
26,,,病组/患者分析：结合医保按DRG结算反馈数据，实现对所有DRG病组/患者关键业务指标的分析，以及指定病种费用结构的多维度分析。 <!-- -->,部分响应,已提供：DRG 分析按病组展示例数、次均费用、平均住院日、权重、标杆支付、组内结余、费用消耗指数、时间消耗指数；病例维度展示住院号、患者、主诊断、病组、MCC/CC、费用、标杆、结余与倍率。尚未提供：(1) 结合医保 DRG 结算反馈数据的分析（当前为院内结算数据）；(2) 指定病种费用结构（药费、耗材、检查、治疗占比等）的多维度分析。上述缺项列入后续开发计划。
27,,,提供对分组器管理、区域标杆管理、标准手术配置、中医优势病种以及系统功能权限等参数的配置管理；,外部条件,需医保局/省平台等外部环境开通后联调
28,,,提供数据权限配置、系统用户管理等的功能。 <!-- -->,部分响应,已提供：系统用户管理（分页查询、新建含口令策略校验与首次登录改密、修改、重置口令、启用/停用，内置管理员不可停用）、用户角色分配、角色菜单授权树配置。尚未提供：数据权限配置（按科室、病区、本人等数据范围的行级权限），当前授权粒度到菜单/按钮。上述缺项列入后续开发计划。
29,★,,按照四川省医保部门下发的《定点医药机构接口规范（基线版）》开发系统接口，从院方相关系统内（如HIS系统、病案系统等）同步获取包括基本信息、诊断、手术、费用明细等DRG付费相关数据信息。 +-------------------------------+--------------------------------------------------------------------------,外部条件,平台提供医保接入标准适配层（统一接口接入点），可按四川省医保部门下发的《定点医药机构接口规范（基线版）》实施对接；DRG 付费所需的患者基本信息、诊断、手术、费用明细等数据由平台门急诊、住院与病案模块内生产生，具备同步数据源基础。接口规范文本、医保接口开发包及联调测试环境须由医保部门提供，具体接口对接在具备上述条件后实施。
30,,,需提供数据抽取、数据治理、数据建模功能，为系统和各类报表分析功能提供实时可变动的数据服务。 数据质控,部分响应,已提供：数据抽取（临床数据中心增量同步）、数据治理（数据元管理、术语标准化、指标定义与指标快照、填报任务与审批、数据服务订阅与推送流水）、自定义报表登记与报表运行服务。尚未提供：(1) 数据建模（主题域、事实表/维度表建模与可视化模型设计）；(2) 实时数据服务（当前指标为手工触发的当日快照，数据同步为批量增量方式）。上述缺项列入后续开发计划。
31,,,需提供数据质控功能，为系统内各项数据提供实时质控服务。 医保智能审核规则库 预警管理 规则库规则分级预警管理,部分响应,已提供：数据治理页面的数据质控检查，对患者缺证件号、缺手机号、门诊病历未签名、出院未归档病案、入院诊断未编码、在途未审处方 6 项进行统计并给出通过/不通过结果。尚未提供：(1) 质控规则的可配置维护（当前 6 项为固定规则，无法新增、停用）；(2) 覆盖系统内各项数据的全面质控；(3) 质控任务定时调度、问题记录下钻与整改闭环；(4) 实时质控服务。上述缺项列入后续开发计划。
32,,,需提供规则库规则分级预警管理入口，实现对规则库规则预警的3级配置：结算控制，报错控制，提醒控制。 规则管理 规则库预置,部分响应,平台当前在门诊与住院结算环节执行医保费用审核并记录审核提醒，供管理端「审核提醒」页签查看，提醒等级为单一级别。本条所述规则库规则分级预警管理入口及结算控制、报错控制、提醒控制三级配置尚未提供，列入后续开发计划。
33,,,需提前预置省市医保审核规则规则库，提供医保费用审核规则，规则主要项目包括但不限于超适应症、药品超适应症、材料与治疗项目不符、项目超频次、项目内涵、药品限制天数、性别限制等。 规则查询,部分响应,平台当前提供医保费用审核基础能力，内置单品种数量超限、同单重复项目、自费丙类占比过高 3 项审核规则，阈值可在系统参数中设置。本条所述预置省市医保审核规则库，及超适应症、药品超适应症、材料与治疗项目不符、项目超频次、项目内涵、药品限制天数、性别限制等规则项尚未提供；规则库容器、规则维护与省市规则导入功能列入后续开发计划，省市规则内容需医保部门提供。
34,,,需支持按照规则类型、规则名称、规则分类、规则来源等维度进行规则查询。 规则库规则自定义,部分响应,平台当前提供医保审核提醒记录查询（审核命中记录列表）。本条所述按规则类型、规则名称、规则分类、规则来源等维度检索医保审核规则库的功能尚未提供，与规则库建设一并列入后续开发计划。
35,,,需支持增加和补充规则库，可自定义医院提供医保相关违规规则或院内管理规则，需包括有限定范围、规则翻译、豁免设置、不同场景级别控制等配置自定义。 规则库规则启停管理,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
36,,,需支持对规则的生效状态进行开启/关闭管理。 > 飞检自查自纠,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
37,,,提供省级、市级飞检问题清单模板，可根据实际需求选择性针对重点项目进行历史数据自查自纠，统计自查结果，分析违规因素，给出改进方案、建议等服务。 > 医院医保智能审核管理 收费监督 实时收费监督,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
38,,,需支持在门诊诊间、开立医嘱、护士补记账费用、病人预出院等多种场景下，利用医疗费用监测规则库对病人的医嘱、费用进行医保合理性检查。并可通过控制级别对可疑、违规费用进行预警和控制。 个性化建议,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
39,,,需支持实时个性化建议功能，当实时收费监督进行提醒时，为临床提供个性化建议，帮助医生合理化操作。 钉钉消息,部分响应,平台当前在收费结算环节执行医保费用审核并生成审核提醒，提醒记录供管理端查看；运维告警可通过钉钉通道外发。本条所述在实时收费监督提醒时向临床医生端推送按患者与医嘱情境生成的个性化建议、并以钉钉消息通知的功能尚未提供，列入后续开发计划。
40,,,需支持钉钉消息功能，接入医院钉钉，可向临床每日定时推送违规汇总报告，提醒医护及时处理。 门诊费用审核,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
41,,,需定时对所有住院病人的费用进行审核。 住院费用审核,部分响应,平台当前在住院患者出院结算时对其费用执行医保审核规则。本条所述定时对全部在院患者的累计费用进行审核、在院期间即时发现超量与重复问题的功能尚未提供，列入后续开发计划。
42,,,需定时对所有门诊病人的费用进行审核。 特批申请/审核,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
43,,,针对诊间提示收费异常的收费信息，需支持临床特批申请功能，支持医保科在线查看、审批功能。 费用批量审核,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
44,,,选定时间范围内的费用，利用医疗费用监测规则库对费用进行批量检查。 医保申诉反馈 疑点导入,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
45,,,需支持对省医保平台的疑点数据进行导入，与系统异常收费进行比对，核对一致率并展示结果。 申诉反馈,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
46,,,需支持对疑点进行批量申诉，已有的特批费用可自动进行申诉。 自动申诉,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
47,,,需支持自动申诉功能，提供维护针对具体项目或者某大类规则的自动申诉填写能力，自动申诉方式可以是自动延续上次理由。 处理方案,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
48,,,需支持违规申诉处理方案功能，为临床提供合理的处理方案建议，帮助临床正确处理违规。 统计分析管理 门诊违规统计与分析,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
49,,,可通过按科室、按规则大类等不同维度分析门诊收费过程中出现的可疑违规费用。通过违规次数排序，分析全院违规次数较多的规则。并展示分析结果。 科室违规统计与分析,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
50,,,可通过按科室等不同维度分析已出院的医保病人可疑违规费用。通过违规次数排序，分析全院违规次数较多的规则。并展示分析结果。 项目违规统计与分析,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
51,,,可通过按照收费项目编码等不同维度分析全院可疑违规费用。通过违规次数排序，分析全院违规次数较多的收费项目。并展示分析结果。 系统管理 菜单管理,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
52,,,可实现对菜单进行添加、修改、查询、删除等操作。 角色管理,部分响应,平台当前提供角色授权树中的菜单查看，菜单由系统预置。本条所述菜单的添加、修改、独立查询与删除维护功能尚未提供，列入后续开发计划。
53,,,可实现创建、更新角色、启用和禁用角色、删除角色等操作。 用户管理,部分响应,平台当前提供角色列表查看与角色菜单授权编辑，角色由系统预置。本条所述角色的创建、更新、启用/禁用、删除功能尚未提供，列入后续开发计划。
54,★,,可实现添加用户、删除用户、停用用户等操作。 权限管理 可实现页面权限管理、操作权限管理、数据权限管理等操作。 +-------------------------------+----------------------------------------------------------------------------------------------------------------,部分响应,已提供：用户管理（添加用户、修改用户、停用/启用用户）；页面权限管理（角色菜单授权树）；操作权限管理（按钮与接口级角色控制）。尚未提供：(1) 删除用户（当前以停用替代，保留操作留痕）；(2) 数据权限管理（按科室、病区、本人等数据范围）。上述缺项列入后续开发计划。
55,,,需支持自动去骨，可自动进行血管命名与血管分段，能自动识别并提取血管中心线，选中血管时，影像可动态改变为最便于观察该血管的CPR角度，兼容颅内、颈部、头颈连扫的CTA数据，可切换显示冠/矢/轴位的厚层图像。 容积再现（VR）,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
56,,,需支持含主流工作站风格的不少于4种VR重建效果，可选择是否重建双侧颈外动脉和锁骨下动脉；提供多种体渲染VR类型，动态VR含可实时任意角度旋转且支持推送及打印的全景、颅内、反色、带骨、半透明带骨、带组织等样式，静态VR含12种方位切割的颅内带骨VR；颅内VR支持预设脑动脉颅外段起点，有基于真实体素数据的VR模型；可实时调整VR窗宽窗位，动态VR与动态反色VR支持单独显示左侧、右侧、前循环、后循环血管,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
57,,,需提供动态与静态两类VMIP。动态VMIP含可实时任意角度旋转且支持推送及打印的全景、颅内、全景去骨、全景反色、颅内反色样式，且动态VMIP与动态反色VMIP支持单独显示左侧、右侧、前循环、后循环血管及Willis环；静态VMIP含支持冠状位（A/P）、冠状位中间(A/P)、矢状位（L/R）、矢状位中间(L/R)、轴状位（S/I）、轴状位中间(S/I)共12种方位切割的颅内带骨VMIP；可实时调整,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
58,,,需支持显示断层图像，能重建并显示冠状位、矢状位图像；同时支持任意角度、层厚及层间距的最大密度投影重组、最小密度投影重组与平均密度投影重组。 曲面重组（CPR）,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
59,,,需支持自动创建血管的曲面重组图，预设颅内和颈部血管CPR图像的起点和终点。 曲面矫直图像（SCPR）,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
60,,,需支持360度查看每一支血管的曲面矫直图像，并显示血管分段信息。 血管横截面图像,配套产品响应,本条所述头颈血管 CTA 智能后处理能力（血管曲面矫直图像 360 度查看与血管分段显示）属影像 AI 后处理软件功能，由影像设备厂商或第三方影像 AI 软件提供。平台提供影像检查申请、登记、报告流程及 PACS 影像调阅接入点，可承接该软件的检查状态与报告结果。
61,,,需支持显示上下等距离取9个点的血管横截面图像，层间距可配置。 最大密度投影（MIP）\ 需支持预设MIP图像的层厚和间距，可自动生成冠状位、矢状位、轴位的去骨MIP图像与带骨MIP图像。 血管编辑,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
62,,,需支持在原始轴位图像上选点进行血管生长，能在动态VR上实时查看生长效果且支持选择不同生长阈值；支持多种裁剪功能，包括在动态VR图像上裁剪任意部分血管、裁剪任意部分血管后保留范围外VR的反向裁剪、裁剪任意血管分支的分支裁剪，以及在动态VR图像上裁剪含血管和其他组织在内任意部分的任意裁剪；还可在MPR图像上整体切割图像重建范围，并在VR图像上实时查看调整后的效果。 轨迹编辑,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
63,,,需支持在CPR图像上用点模式和线模式调整血管中心线轨迹，修改后CPR、拉直图、探针图等实时同步。 血管斑块智能分析,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
64,,,需支持检出可疑斑块并定位其所在血管分段，将血管斑块分为钙化、非钙化、混合三类；能在CPR图像上自动定位可疑斑块的起止点，同时自动标记当前分段的管腔最狭窄处。 血管狭窄智能评估,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
65,,,需支持对管腔狭窄程度进行分级评估，分为未见狭窄、轻度狭窄、中度狭窄、重度狭窄、完全闭塞5级，给出狭窄程度的百分数测量值；同时自动测量狭窄长度，并定位最狭窄处所在的血管分段。 支架分析,配套产品响应,本条所述管腔狭窄五级分级评估、狭窄百分数测量、狭窄长度自动测量与最狭窄处血管分段定位，属血管 AI 后处理软件的算法能力，由影像设备厂商或第三方影像 AI 软件提供。平台提供影像检查申请、登记、报告流程及 PACS 影像调阅接入点，可承接该软件的检查状态与报告结果。
66,,,需支持检出支架并定位其所在的血管分段。 Willis环变异评估,配套产品响应,本条所述支架自动检出及其所在血管分段定位，属血管 AI 后处理软件的算法能力，由影像设备厂商或第三方影像 AI 软件提供。平台提供影像检查申请、登记、报告流程及 PACS 影像调阅接入点，可承接该软件的检查状态与报告结果。
67,,,需支持自动评估Willis环前/后循环的变异情况，可手动修改。 狭窄分级,配套产品响应,本条所述 Willis 环前/后循环变异自动评估及手动修改，属脑血管 AI 后处理软件的算法与编辑能力，由影像设备厂商或第三方影像 AI 软件提供。平台提供影像检查申请、登记、报告流程及 PACS 影像调阅接入点，可承接该软件的检查状态与报告结果。
68,,,颅内动脉和颈部动脉需具备两种狭窄分级选择，支持狭窄类型、狭窄类型＋百分比、狭窄类型＋百分比范围三种狭窄程度描述方式。 支架检出,配套产品响应,本条所述颅内动脉与颈部动脉两套狭窄分级选择，以及狭窄类型、狭窄类型＋百分比、狭窄类型＋百分比范围三种描述方式，属血管 AI 后处理软件报告模块的配置能力，由影像设备厂商或第三方影像 AI 软件提供。平台提供影像检查申请、登记、报告流程及 PACS 影像调阅接入点，可承接该软件的检查状态与报告结果。
69,,,需支持头颈血管支架的检出及定位，支持毫米和厘米两种长度单位。 颅内动脉瘤检出与定位,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
70,,,需支持自动检出可疑颅内动脉瘤，定位所在血管分段。 多角度展示动脉瘤,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
71,,,需支持自动生成MPR图像展示动脉瘤。 动脉瘤标记,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
72,,,需支持在VR、CPR、曲面矫直、MRP图像、原始轴位图像上标记动脉瘤的范围区域。,外部条件,需医保局/省平台等外部环境开通后联调
73,,,动脉瘤轮廓勾画 需支持在原始轴位图像上自动勾画动脉瘤轮廓。 显示/隐藏动脉瘤标记,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
74,,,需支持在VR、MPR、原始轴位图像上显示/隐藏动脉瘤标记。 动脉瘤参数测量,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
75,,,需支持自动测量可疑动脉瘤的参数，包括最大直径、体积、长径、短径、高度、宽度、瘤颈宽度、尺寸比、纵横比。 动脉瘤分析算法,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
76,,,需支持基于深度学习算法对动脉瘤分析。 动脉瘤参数测量,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
77,,,需支持自动测量可疑动脉瘤的最大直径、体积、高度、宽度、瘤颈宽度、长宽比、尺寸比、纵横比。 动脉瘤检出效能,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
78,,,颅内动脉瘤检出功能需经过临床验证，动脉瘤检出率≥95%。 <!-- -->,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
79,,,需支持图像多维交互操作，包括血管中心线可视化、图像四角注释显隐切换、反色显示、操作重置功能，以及原图/VR/VMIP/CPR/拉直图等模态的任意角度及层面截图能力，具备图像质量评估功能。 组合截图,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
80,,,需支持自动拼接VR、CPR、拉直图、探针图等多种图像不同组合方式的组合图并进行截图操作，支持不少于5种拼接方式的组合截图生成。 容积再现（VR）,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
81,,,需支持体渲染动态VR、动态反色VR、真实体素VR模型，可实时调整VR图像的阈值，持不少于3种VR配色方案。 自适应窗宽窗位,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
82,,,需支持根据造影剂注射情况自适应调节VMIP图像的窗宽窗位。 多平面重组（MPR）,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
83,,,需支持多平面重组（MPR），可显示断层图像，重建并显示冠状位、矢状位图像，实现心脏轴位MPR重建及显示心脏长、短轴位图像，支持任意角度、层厚及层间距的最大、最小、平均密度投影重组。 曲面重组（CPR）,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
84,★,,需支持显示冠脉球面视图和平面视图，自动创建曲面重组图、血管横截面图像，支持血管编辑。需支持自动将各类病灶诊断结果汇总展示。识别冠脉优势型，提示冠脉起源，检出可疑斑块并定位所在血管分段，将血管斑块分为钙化、非钙化、混合3类，将狭窄类型分为局限性、节段性、弥漫性3类，检出支架、心肌桥，自动将管腔狭窄程度分为6级，并自动计算狭窄率。 +-------------------------------+--,配套产品响应,属设备配套软件/商用知识库/CA 等产品参数，平台已留标准接入点
85,,,提前写入患者信息，患者佩戴当天可直接佩戴即可；,配套产品响应,本条所述提前写入患者信息、佩戴当天直接佩戴的功能，属动态心电/动态血压采集分析系统的预约登记能力，由该设备厂商随机软件提供。平台提供检查申请、报告结果承接接入点及集成平台标准消息通道（HL7/MLLP），用于接收该系统回传的检查状态与报告。
86,,,实时显示预约数量，佩戴数量。一个界面完成预约，佩戴，重背，录入等步骤；,配套产品响应,本条所述实时显示预约数量与佩戴数量、在同一界面完成预约、佩戴、重背、录入的一体化操作，属动态心电/动态血压采集分析系统的业务界面能力，由该设备厂商随机软件提供。平台提供检查申请、报告结果承接接入点及集成平台标准消息通道（HL7/MLLP），用于接收该系统回传的检查状态与报告。
87,,,软件支持预约、检查、诊断优先设置，针对紧急病人可以设置优先预约、优先检查以及优先诊断，系统具有高优先级病人记录的标注，醒目字体标识；,配套产品响应,本条所述预约、检查、诊断三阶段优先级设置及高优先级病人醒目标注，属动态心电/动态血压采集分析系统的业务能力，由该设备厂商随机软件提供。平台自身在检查申请与住院医嘱上提供加急标记，但不涉及该系统的三阶段优先设置。平台提供检查申请、报告结果承接接入点及集成平台标准消息通道（HL7/MLLP）。
88,,,软件可直接打印预约登记检查单，自动生成条码信息及检查注意事项提示。 **二、信息录入系统**,配套产品响应,本条所述直接打印预约登记检查单、自动生成条码及检查注意事项提示，属动态心电/动态血压采集分析系统的登记打印能力，由该设备厂商随机软件提供。平台提供检查申请、报告结果承接接入点及集成平台标准消息通道（HL7/MLLP），用于接收该系统回传的检查状态与报告。
